200,300,400
172,310,341
190,310,400
185,313,405
212,318,391
193,310,391
189,313,391
201,316,405
186,316,395
192,280,382
188,313,362
183,316,405
180,307,400
192,313,400
193,325,391
181,316,395
187,316,405
204,321,405
189,275,420
196,289,395
188,325,405
185,321,400
194,316,382
180,313,391
188,316,436
175,316,410
190,316,430
193,325,430
209,321,405
183,318,391
185,318,378
184,318,378
190,310,378
184,307,362
192,316,387
187,316,378
181,318,395
179,321,378
201,321,374
207,321,395
192,310,405
186,313,395
180,307,395
195,310,378
183,313,382
179,318,430
183,318,400
198,318,387
195,313,374
